extract,country,city,left,bottom,right,top,id
estonia,Estonia,,21.2826069,57.4093124,28.3100175,60.0383754,78580369fc07cf3aa6be737424ac8745
ethiopia,Ethiopia,,32.897734,3.297448,48.0823797,14.9944684,e518dc2bab045a83993069bc5c6ca828
falkland_islands,Falkland Islands,,-61.8726771,-53.2186765,-57.2662366,-50.6973006,9b9672a7906c1545afdb20667cb43672
faroe_islands,Faroe Islands,,-7.8983833,61.1880991,-6.0413261,62.5476162,9b782e2ebc60b9c387a304671d0faa1a
federated_states_of_micronesia,Federated States of Micronesia,,137.1234512,0.727,163.3364054,10.391,facdb71c6c62bdd0b16c3c5947fffede
fiji,Fiji,,-180.0999999,-21.3286516,180.1,-12.1613865,8a8866fd8cf8b74bc315655560cf2c17
finland,Finland,,18.9832098,59.3541578,31.6867044,70.1922939,9cce61c9f858b395d07e59751c124b07
france,France,,-5.4662,41.2632,9.8679,51.2684,fae95809a97487e3f7e4dd61fff6c3c8
gabon,Gabon,,8.4002246,-4.201226,14.639444,2.4182171,92255deb2a472338eb1ff8331d447fe3
georgia,Georgia,,39.7844803,40.9552922,46.8365373,43.6864294,4fbff5ec06d73ae0ebbed3c8f1aaf4b7
germany,Germany,,5.7663153,47.1701114,15.1419319,55.199161,4f387f897780692472d6a4bae73074da
ghana,Ghana,,-3.3607859,4.4392525,1.3732942,11.2748562,ed86c6c0e2b597fbc1bb941a880a4bec
greece,Greece,,19.1477876,34.6006096,29.8296986,41.8488862,3ae8f300cfa6c02ede44c70c01e30f6c
greenland,Greenland,,-74.394555,59.4209376,-9.4914437,83.8491212,07f91ee6c6dfb1fd18fa6f9369fa2b43
grenada,Grenada,,-62.1065867,11.686,-61.0732142,12.6966532,920869c6c2f1e163b671d3185ff03ade
guatemala,Guatemala,,-92.4105241,13.5278662,-88.0648019,17.9166179,5f3610eb13edd380a2badf5a86ac45ae
guernsey,Guernsey,,-3.1204014,49.1208333,-1.9351849,50.0416066,494885a956d4d731373dfca44f4694e1
guinea-bissau,Guinea-Bissau,,-16.9945229,10.5514215,-13.5348776,12.7862384,c996e28da9b3e7605f43146ee97ce3d8
guinea,Guinea,,-15.3470907,7.0906045,-7.5381992,12.77563,59258091107566b579ed6da68bc86999
guyana,Guyana,,-61.5149049,1.0710017,-56.3689542,8.7038842,0bff08db9103e73f4a384e9ae52178c1
haiti,Haiti,,-74.7575356,17.8099291,-71.5221296,20.3181368,221f90228d10b6eb921e0010d6d1647a
honduras,Honduras,,-89.4519439,12.879722,-82.0816379,17.719526,b5cd4a7764cc8168e7c20c45da1bd2e5
hungary,Hungary,,16.0138867,45.637128,22.9974573,48.685257,288a2bbedc8ba417419606959c0e8c90
iceland,Iceland,,-25.1135068,62.9859177,-12.7046161,67.453,16c2cae438435e1b55f9147db8f237e6
india,India,,68.0113787,6.4546079,97.495561,35.7745457,536b3dcd7f401e229cc3c97c11c40aa1
indonesia,Indonesia,,94.6717124,-11.3085668,141.1194444,6.3744496,4a1e0b69412cf44d7a567176a8b9cfff
iran,Iran,,43.9318908,24.7465103,63.4332704,39.8816502,c67a0abd3b0ed095b1c95286e61f7d08
